question_id,question,category,model,prompt_style,rag_enabled,summary,keyword_score,business_specificity_score,retrieval_usefulness_score,judge_usefulness,judge_clarity,judge_correctness,enhanced_overall_score
16,How does bounce rate relate to conversion?,correlation,mistralai/mistral-7b-instruct,structured_json,True,"For this question, the clearest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.61,4.44,2.42,0.6536
6,How does bounce rate relate to conversion?,correlation,mistralai/mistral-7b-instruct,structured_json,True,"For this question, the clearest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.61,4.44,2.42,0.6536
6,How does bounce rate relate to conversion?,correlation,mistralai/mistral-7b-instruct,basic,True,"For this question, the clearest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.61,4.44,2.42,0.6536
16,How does bounce rate relate to conversion?,correlation,mistralai/mistral-7b-instruct,basic,True,"For this question, the clearest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.61,4.44,2.42,0.6536
16,How does bounce rate relate to conversion?,correlation,meta-llama/llama-3.1-8b-instruct,structured_json,True,"For this question, the strongest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.65,4.48,2.39,0.6534
16,How does bounce rate relate to conversion?,correlation,qwen/qwen-2.5-7b-instruct,basic,True,"For this question, the strongest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.65,4.48,2.39,0.6534
6,How does bounce rate relate to conversion?,correlation,meta-llama/llama-3.1-8b-instruct,basic,True,"For this question, the strongest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.65,4.48,2.39,0.6534
6,How does bounce rate relate to conversion?,correlation,meta-llama/llama-3.1-8b-instruct,structured_json,True,"For this question, the strongest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.65,4.48,2.39,0.6534
16,How does bounce rate relate to conversion?,correlation,meta-llama/llama-3.1-8b-instruct,basic,True,"For this question, the strongest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.65,4.48,2.39,0.6534
6,How does bounce rate relate to conversion?,correlation,qwen/qwen-2.5-7b-instruct,basic,True,"For this question, the strongest signals in the retrieved context come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.65,4.48,2.39,0.6534
16,How does bounce rate relate to conversion?,correlation,mistralai/mistral-7b-instruct,executive,True,"Executive read: the clearest performance signals for this question come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.6,4.43,2.42,0.6531
16,How does bounce rate relate to conversion?,correlation,mistralai/mistral-7b-instruct,evidence_constrained,True,"Based strictly on retrieved evidence, the clearest observable signals come from customer segments, channels, time periods.",0.3333333333333333,0.75,0.3583,3.6,4.43,2.42,0.6531
